1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	
198.0	192.0	204.0	240.0	231.0	215.0	320.0	357.0	505.0	649.0	903.0	859.0	1162.0	1462.0	1768.0	1716.0	2035.0	2233.0	1903.0	1886.0	1815.0	2082.0	2054.0	2266.0	2117.0	2267.0	2455.0	2962.0	2687.0	2195.0	2627.0	2650.0	2703.0	2722.0	2483.0	2583.0	2316.0	1939.0	2206.0	2034.0	2238.0	1995.0	2025.0	2243.0	2085.0	2058.0	3656.0	8298.0	9480.0	10260.0	11234.0	12263.0	13953.0	14115.0	16456.0	18773.0	20574.0	29540.0	47297.0	63092.0	88747.0	158348.0	274858.0	395205.0	383187.0	446604.0	458843.0	477214.0	381156.0	160283.0	
343.0	381.0	417.0	525.0	602.0	642.0	732.0	797.0	854.0	909.0	990.0	1049.0	1127.0	1401.0	1663.0	1805.0	1971.0	1988.0	2301.0	2646.0	2939.0	3037.0	3606.0	3821.0	4209.0	4866.0	5343.0	5659.0	6063.0	6730.0	7426.0	8026.0	8815.0	9521.0	10651.0	10616.0	11375.0	12165.0	13081.0	13949.0	14871.0	15985.0	17453.0	18130.0	18562.0	21598.0	22105.0	23799.0	26237.0	29194.0	34419.0	38169.0	42743.0	50325.0	56688.0	65476.0	75310.0	88674.0	97824.0	113263.0	124855.0	137212.0	152275.0	161896.0	172116.0	182000.0	192628.0	212770.0	205301.0	121606.0	
188.0	153.0	255.0	212.0	308.0	429.0	381.0	464.0	569.0	523.0	517.0	595.0	566.0	728.0	824.0	1094.0	1026.0	1220.0	1622.0	1829.0	1494.0	1680.0	1839.0	1781.0	2619.0	2758.0	2469.0	2823.0	2592.0	2638.0	3026.0	3285.0	4282.0	3988.0	4810.0	4936.0	5439.0	5554.0	6587.0	5838.0	7336.0	7426.0	7458.0	8189.0	7988.0	8063.0	8846.0	10286.0	10011.0	10368.0	9567.0	11179.0	12657.0	14597.0	16106.0	18384.0	30447.0	21938.0	26256.0	27430.0	28921.0	28900.0	29804.0	29333.0	33384.0	34795.0	34934.0	37599.0	38963.0	23216.0	
1547.0	1753.0	2162.0	2320.0	2567.0	2897.0	3145.0	3542.0	3986.0	4489.0	4331.0	5240.0	5529.0	6032.0	6920.0	7982.0	9851.0	12064.0	13864.0	15782.0	17490.0	20999.0	23709.0	26776.0	29442.0	33000.0	37903.0	41461.0	46507.0	51421.0	56996.0	61088.0	66241.0	67753.0	76019.0	80154.0	85379.0	91494.0	95416.0	102621.0	113930.0	120196.0	129686.0	133264.0	136784.0	155739.0	164199.0	198414.0	233112.0	278724.0	306896.0	361095.0	401656.0	468493.0	522866.0	572058.0	646605.0	686771.0	744806.0	774562.0	832967.0	914559.0	990398.0	1021915.0	1105872.0	1122438.0	1087663.0	1150371.0	1027206.0	618326.0	
22.0	6.0	14.0	21.0	31.0	27.0	19.0	18.0	53.0	55.0	40.0	42.0	51.0	46.0	59.0	69.0	60.0	72.0	60.0	80.0	103.0	96.0	123.0	158.0	225.0	217.0	351.0	383.0	418.0	439.0	428.0	554.0	594.0	653.0	573.0	761.0	944.0	996.0	889.0	1073.0	1149.0	1292.0	1219.0	1324.0	1504.0	1598.0	1717.0	1926.0	2010.0	2267.0	2380.0	2706.0	2824.0	2983.0	3512.0	3746.0	4719.0	5596.0	7426.0	7486.0	8581.0	10122.0	10091.0	11655.0	12551.0	14141.0	15452.0	17250.0	18258.0	11890.0	
49.0	57.0	37.0	54.0	51.0	55.0	66.0	49.0	69.0	63.0	95.0	79.0	108.0	133.0	205.0	345.0	519.0	538.0	556.0	577.0	630.0	652.0	578.0	421.0	424.0	501.0	417.0	536.0	534.0	664.0	753.0	895.0	741.0	945.0	983.0	1056.0	1159.0	1180.0	1272.0	1209.0	1456.0	1593.0	1747.0	1940.0	2101.0	2363.0	2798.0	2467.0	3072.0	3442.0	4281.0	4525.0	4945.0	5026.0	6066.0	8171.0	9682.0	11337.0	15297.0	18347.0	21394.0	25865.0	28852.0	34332.0	41044.0	47405.0	49696.0	50880.0	47101.0	28385.0	
95.0	110.0	113.0	147.0	152.0	172.0	197.0	172.0	382.0	362.0	426.0	386.0	379.0	599.0	654.0	704.0	1115.0	1291.0	1310.0	1553.0	1830.0	1935.0	1993.0	1989.0	2203.0	2450.0	2688.0	2930.0	3266.0	3616.0	4069.0	4604.0	4773.0	4996.0	4871.0	5474.0	5722.0	6286.0	6369.0	7073.0	7031.0	7399.0	7877.0	8569.0	8953.0	9924.0	9774.0	10883.0	11718.0	12695.0	13159.0	16146.0	16592.0	17377.0	19839.0	26177.0	30566.0	36136.0	40262.0	48849.0	54729.0	78041.0	91455.0	103185.0	116498.0	131058.0	142656.0	159849.0	150099.0	89965.0	
2.0	8.0	9.0	10.0	6.0	7.0	12.0	10.0	9.0	7.0	18.0	16.0	22.0	53.0	44.0	34.0	69.0	66.0	63.0	71.0	92.0	137.0	203.0	193.0	232.0	332.0	330.0	317.0	333.0	406.0	401.0	480.0	469.0	478.0	507.0	625.0	619.0	648.0	858.0	1016.0	1036.0	1036.0	1081.0	1332.0	1373.0	1521.0	1476.0	1990.0	2849.0	2611.0	3098.0	3415.0	3909.0	4644.0	5462.0	6914.0	8665.0	10966.0	12658.0	14812.0	15877.0	19970.0	25000.0	28676.0	32332.0	34253.0	38896.0	45348.0	47364.0	27804.0	
3.0	0.0	4.0	3.0	6.0	9.0	3.0	2.0	5.0	8.0	13.0	10.0	4.0	12.0	3.0	10.0	8.0	12.0	14.0	18.0	16.0	18.0	39.0	30.0	46.0	113.0	56.0	91.0	72.0	66.0	107.0	98.0	121.0	109.0	105.0	153.0	138.0	137.0	163.0	169.0	168.0	200.0	248.0	285.0	266.0	295.0	458.0	391.0	447.0	428.0	693.0	616.0	741.0	846.0	921.0	973.0	1281.0	1782.0	1945.0	2279.0	2263.0	2660.0	2937.0	2788.0	3219.0	3497.0	3555.0	3717.0	4187.0	2908.0	
9.0	27.0	19.0	14.0	18.0	23.0	28.0	20.0	29.0	24.0	42.0	55.0	55.0	77.0	131.0	113.0	226.0	241.0	247.0	305.0	338.0	134.0	297.0	519.0	426.0	438.0	420.0	498.0	461.0	278.0	363.0	420.0	390.0	476.0	468.0	410.0	535.0	417.0	487.0	662.0	595.0	460.0	730.0	631.0	721.0	768.0	748.0	711.0	900.0	945.0	1070.0	1140.0	1503.0	1641.0	2104.0	2509.0	3050.0	3586.0	3949.0	4625.0	6404.0	10689.0	7586.0	8747.0	9708.0	10408.0	12650.0	14346.0	12658.0	7463.0	
