1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
0.333104402	0.306819097	0.315632416	0.368960871	0.340443044	0.335275162	0.421102185	0.447045514	0.406568559	0.434100286	0.543479007	0.510734108	0.50696672	0.547329805	0.554186833	0.521157182	0.551239811	0.580277349	0.567386904	0.527727816	0.522153052	0.507099519	0.523839333	0.54391329	0.604076289	0.603834106	0.631346033	0.690190119	0.632288776	0.518155032	0.567907254	0.555322052	0.544621297	0.539579612	0.488353553	0.474984743	0.430037803	0.457166847	0.383704332	0.363886735	0.35854962	0.339778272	0.322090175	0.330610624	0.31875935	0.303396833	0.400042416	0.474908794	0.494607745	0.494284168	0.497382211	0.507092997	0.526885272	0.524998422	0.547961334	0.559699019	0.568691294	0.623811052	0.747341796	0.775641917	0.865475864	0.976353175	1.10171576	1.186107114	1.273580352	1.150519433	1.130024862	1.138968124	1.162310683	1.147702622
0.245893227	0.241563591	0.258181728	0.272867867	0.290200565	0.286438576	0.294246846	0.303893174	0.297085007	0.291675257	0.283975176	0.28748507	0.299144357	0.3046314	0.320395022	0.326928957	0.318158409	0.304987848	0.322547889	0.325246961	0.332869503	0.330761281	0.363807067	0.367570606	0.381586333	0.398246325	0.402105765	0.399840735	0.394333416	0.396543002	0.398950307	0.396342654	0.394342003	0.388702397	0.394970756	0.37779107	0.364870857	0.358494929	0.358245553	0.355129342	0.349257039	0.349135483	0.34809541	0.350453538	0.335032386	0.348531167	0.329215942	0.327085297	0.315768888	0.311927747	0.311123677	0.314318126	0.305881564	0.308468553	0.315161417	0.315827988	0.307540716	0.318613023	0.322044649	0.324721159	0.327474676	0.335010728	0.338217965	0.3382575	0.337221796	0.342018531	0.340030865	0.358006261	0.362610009	0.371870592
0.925985564	0.69323694	1.036531753	0.983464119	1.064068738	1.058893577	1.288653204	1.079710141	1.17714928	1.141993664	1.224461731	1.199432842	1.249177561	1.182991891	1.421770236	1.360840471	1.188017038	1.229061353	1.388570689	1.269004079	1.24452008	1.196448756	1.308847482	1.093927964	1.255827074	1.238290419	1.174880617	1.101211683	1.026143105	1.012946167	0.953527033	1.004261596	1.135867064	1.025359496	1.14392855	1.112036	1.058281739	1.04102574	1.095115987	0.955721955	1.011485869	0.98422031	0.937409285	0.969917285	0.900035769	0.857130564	0.882045497	0.905128806	0.824611838	0.796245776	0.701396132	0.749467445	0.757575971	0.776226933	0.787426986	0.778785093	0.923470507	0.71120683	0.703620378	0.684377463	0.679597039	0.640840854	0.607761903	0.55327909	0.571744471	0.560075445	0.545788841	0.544160174	0.550307421	0.571364446
0.934400052	0.812230625	0.857916878	0.800250818	0.831918107	0.774516534	0.836877029	0.797367143	0.873582372	0.838333534	0.783381317	0.789679499	0.778773878	0.725851092	0.709297932	0.71704247	0.729570438	0.753285776	0.759708613	0.78138721	0.773558878	0.780801936	0.798842263	0.81791757	0.81227654	0.848403786	0.915260849	0.934345878	0.945088999	0.939656691	0.984384434	0.967344416	0.98654374	0.965222207	0.996158265	0.979161484	0.966816396	0.964451374	0.94785055	0.946709775	0.959486061	0.9309938	0.917177548	0.980846175	0.949268753	0.907634023	0.913529484	0.898550222	0.885508635	0.898874367	0.911811583	0.942627782	0.957002774	0.98747814	0.996050555	1.001063073	1.023001506	1.030691549	1.046980636	1.04003621	1.046376391	1.070815334	1.073707688	1.090943244	1.115693513	1.124158033	1.102768485	1.122837291	1.114951409	1.144142199
0.848344836	0.262262648	0.595526281	0.628625786	0.701832572	0.653408435	0.498042477	0.454616679	0.846889403	0.741846278	0.749781591	0.64129876	0.671732463	0.625493034	0.665083637	0.59094851	0.488510941	0.52153607	0.391973016	0.464418452	0.457112423	0.315298888	0.365619412	0.355867936	0.41178059	0.341791584	0.437421796	0.386531755	0.354297547	0.328008148	0.292463105	0.332078142	0.302311236	0.299163245	0.226528928	0.254655274	0.270710635	0.249759796	0.196748814	0.211343262	0.193538087	0.201000949	0.162249653	0.150903876	0.146372852	0.139877898	0.135854364	0.154322309	0.136209003	0.131965628	0.121320266	0.124765832	0.11580902	0.105117238	0.104427471	0.093499649	0.097287319	0.099536401	0.112180976	0.099897514	0.101089032	0.10530899	0.096009288	0.101464362	0.101045476	0.106361028	0.106164662	0.102440948	0.104365421	0.101990066
0.178831438	0.203143491	0.140032899	0.105313723	0.149634666	0.120180097	0.175122648	0.117347771	0.099457202	0.124905556	0.141520082	0.105969839	0.139070473	0.130914531	0.231756269	0.277579252	0.408567715	0.36784498	0.388494886	0.357304779	0.370982194	0.35300005	0.250066924	0.212481638	0.221628092	0.224469579	0.185941388	0.220420281	0.216333393	0.217342082	0.242865645	0.271781797	0.223361595	0.221462175	0.217999142	0.216644934	0.230148124	0.22134707	0.200085917	0.174676547	0.201890883	0.19346603	0.184698316	0.183812967	0.18960991	0.204732146	0.205302041	0.169007493	0.188245801	0.192999223	0.210101332	0.191316904	0.223552765	0.207236736	0.205168442	0.199912407	0.203319997	0.209850927	0.234282571	0.22533582	0.236182384	0.22675578	0.214870739	0.212884904	0.204401098	0.202044605	0.196666262	0.199236707	0.212555091	0.208358089
0.069084702	0.06731606	0.059394205	0.073213049	0.072517614	0.065391724	0.071163075	0.059029471	0.10762712	0.08861773	0.100955143	0.079761166	0.06944554	0.099720244	0.098482532	0.101701559	0.139943745	0.154640717	0.130323114	0.155289407	0.16256919	0.165773187	0.141280721	0.144242182	0.148140083	0.159414648	0.160764914	0.169570254	0.18376556	0.189006612	0.195636444	0.208303764	0.205249998	0.203467384	0.193443171	0.209613287	0.200429134	0.217424269	0.200813305	0.214403923	0.192225833	0.191707618	0.185157563	0.196994979	0.188782592	0.198064052	0.20147963	0.204570135	0.208234238	0.20496509	0.193536403	0.219607697	0.214979028	0.203148386	0.197779566	0.198156451	0.200446715	0.207797016	0.206892748	0.215560694	0.21232081	0.220441492	0.21972655	0.214258924	0.214410859	0.215325871	0.226955438	0.239245844	0.274723644	0.277680167
0.035097555	0.124494661	0.158956263	0.123465506	0.096247424	0.079054355	0.126638279	0.080277328	0.109819622	0.063276694	0.120638855	0.068592005	0.106336494	0.181465372	0.130386452	0.09432133	0.141772524	0.127472167	0.096328319	0.103940025	0.120059819	0.136829815	0.175190059	0.1570828	0.167818208	0.223144876	0.183970371	0.171662039	0.151856991	0.166771218	0.153456983	0.164414728	0.146784675	0.125629979	0.124354304	0.141487397	0.128634981	0.120539268	0.131241258	0.133308618	0.123686045	0.113358315	0.105119727	0.119895856	0.111654635	0.114533885	0.100555144	0.127340242	0.162944929	0.139135307	0.149772578	0.149281545	0.148037252	0.154441003	0.162295058	0.171732996	0.174390794	0.189538123	0.190555961	0.189829789	0.186101207	0.19648216	0.217209108	0.220836885	0.226214346	0.223710265	0.227301568	0.232614249	0.226778098	0.225444678
0.129293197	0.278654064	0.165488713	0.148737351	0.228014728	0.301747645	0.101574453	0.03795772	0.128076318	0.159347954	0.22447279	0.173343926	0.061982235	0.133591189	0.027676371	0.091276677	0.056853047	0.069656406	0.085388312	0.093709206	0.077886633	0.07201534	0.135222206	0.088787838	0.114544455	0.261101273	0.115353819	0.17017349	0.123997438	0.110711651	0.148223702	0.1230536	0.135131277	0.116153659	0.092715561	0.122827761	0.099004689	0.094340622	0.094934042	0.084774728	0.081255861	0.081248168	0.090285467	0.094533196	0.079950837	0.083591718	0.115442712	0.105125981	0.112701465	0.101879811	0.145462834	0.123373204	0.122864108	0.132552336	0.123943147	0.116658358	0.121302613	0.141383903	0.141004642	0.138006138	0.129857758	0.146637253	0.137131429	0.118219729	0.127238903	0.130673521	0.126004733	0.114228721	0.127832272	0.139444604
0.072065061	0.114482696	0.065356732	0.043509196	0.047565986	0.051732183	0.057060006	0.037588354	0.047772402	0.028951951	0.038080604	0.041373596	0.0351964	0.039478302	0.054086845	0.045048932	0.071018798	0.056501574	0.057446994	0.063771441	0.061241506	0.025266775	0.050700066	0.073964918	0.062241038	0.04819831	0.051853274	0.055672777	0.048202662	0.022432317	0.032908486	0.032400327	0.029555423	0.029379181	0.03019759	0.026189476	0.028856681	0.019459048	0.023211538	0.029617517	0.023034667	0.016506612	0.025337922	0.02047	0.022562635	0.021111584	0.019822571	0.016997266	0.018866545	0.018068512	0.017401521	0.015950922	0.016901654	0.016130308	0.018706354	0.021304591	0.021500964	0.022517396	0.022122799	0.023095869	0.028402086	0.042726221	0.026138538	0.028460471	0.02873234	0.027845093	0.030598929	0.031922192	0.034377668	0.03579289
